IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
193.123.61.28,443,443,true,FRA,Europe,Frankfurt,186,9.82
150.230.121.92,443,443,true,FRA,Europe,Frankfurt,188,9.80
132.226.213.52,443,443,true,FRA,Europe,Frankfurt,171,9.77
141.147.6.82,443,443,true,FRA,Europe,Frankfurt,169,9.76
141.147.98.237,443,443,true,FRA,Europe,Frankfurt,206,9.67
150.230.112.229,443,443,true,FRA,Europe,Frankfurt,179,9.67
89.168.90.125,443,443,true,FRA,Europe,Frankfurt,178,9.67
130.162.188.145,443,443,true,FRA,Europe,Frankfurt,175,9.65
144.24.169.81,8443,443,true,FRA,Europe,Frankfurt,188,9.62
158.180.13.250,443,443,true,FRA,Europe,Frankfurt,202,9.60
144.21.33.120,443,443,true,FRA,Europe,Frankfurt,176,9.59
193.122.14.65,443,443,true,FRA,Europe,Frankfurt,182,9.53
141.147.68.105,443,443,true,FRA,Europe,Frankfurt,177,9.49
130.61.239.203,2053,443,true,FRA,Europe,Frankfurt,169,9.47
141.147.80.211,443,443,true,FRA,Europe,Frankfurt,199,9.46
193.123.81.105,443,443,true,CDG,Europe,Paris,103,9.44
140.238.120.228,443,443,true,FRA,Europe,Frankfurt,191,9.44
144.21.50.146,443,443,true,FRA,Europe,Frankfurt,188,9.40
132.226.131.96,443,443,true,FRA,Europe,Frankfurt,189,9.40
141.147.9.205,443,443,true,FRA,Europe,Frankfurt,189,9.39
89.168.71.128,443,443,true,FRA,Europe,Frankfurt,179,9.38
140.238.83.58,443,443,true,FRA,Europe,Frankfurt,175,9.33
141.147.68.47,443,443,true,FRA,Europe,Frankfurt,200,9.28
130.162.226.78,443,443,true,FRA,Europe,Frankfurt,178,9.25
132.226.214.177,443,443,true,FRA,Europe,Frankfurt,192,9.21
141.147.111.104,443,443,true,FRA,Europe,Frankfurt,193,9.20
141.147.61.116,2053,443,true,FRA,Europe,Frankfurt,180,9.18
84.235.165.35,443,443,true,FRA,Europe,Frankfurt,182,9.11
89.168.66.221,443,443,true,FRA,Europe,Frankfurt,294,9.08
193.123.69.77,443,443,true,CDG,Europe,Paris,101,9.08
130.61.109.6,2053,443,true,FRA,Europe,Frankfurt,198,8.82
150.230.118.134,443,443,true,FRA,Europe,Frankfurt,175,8.81
150.230.127.112,443,443,true,FRA,Europe,Frankfurt,185,8.79
141.147.106.195,443,443,true,FRA,Europe,Frankfurt,191,8.58
143.47.184.211,443,443,true,FRA,Europe,Frankfurt,188,8.51
141.147.76.230,443,443,true,FRA,Europe,Frankfurt,189,8.46
132.226.133.38,443,443,true,FRA,Europe,Frankfurt,185,8.11
64.110.90.2,443,443,true,SIN,Asia Pacific,Singapore,212,8.06
64.110.73.45,443,443,true,SIN,Asia Pacific,Singapore,222,8.06
150.230.47.17,443,443,true,SJC,North America,San Jose,219,8.05
130.61.23.77,443,443,true,FRA,Europe,Frankfurt,166,7.96
158.178.148.180,443,443,true,FRA,Europe,Frankfurt,171,7.80
141.147.35.125,443,443,true,FRA,Europe,Frankfurt,177,7.63
152.70.160.45,443,443,true,FRA,Europe,Frankfurt,182,7.54
150.230.147.106,443,443,true,FRA,Europe,Frankfurt,168,7.51
158.101.192.209,443,443,true,FRA,Europe,Frankfurt,285,7.48
130.162.251.108,443,443,true,FRA,Europe,Frankfurt,178,7.48
164.152.26.70,2052,443,true,ORD,North America,Chicago,233,7.28
138.2.168.228,443,443,true,FRA,Europe,Frankfurt,184,7.18
165.1.79.60,8443,443,true,SJC,North America,San Jose,205,7.13
192.9.138.241,443,443,true,SJC,North America,San Jose,203,7.13
40.233.70.7,8443,443,true,YYZ,North America,Toronto,249,7.06
138.3.245.155,443,443,true,FRA,Europe,Frankfurt,247,7.00
141.147.105.110,443,443,true,FRA,Europe,Frankfurt,193,6.94
164.152.26.70,2086,443,true,ORD,North America,Chicago,229,6.88
152.70.117.136,443,443,true,SJC,North America,San Jose,201,6.79
130.61.239.203,443,443,true,FRA,Europe,Frankfurt,168,6.67
144.24.161.142,8443,443,true,FRA,Europe,Frankfurt,186,6.47
192.9.246.112,8443,443,true,SJC,North America,San Jose,223,6.44
168.138.165.174,443,443,true,SIN,Asia Pacific,Singapore,2,6.21
152.70.123.225,8443,443,true,SJC,North America,San Jose,227,6.17
158.101.98.60,2095,443,true,IAD,North America,Ashburn,293,6.17
141.147.31.26,443,443,true,FRA,Europe,Frankfurt,284,6.09
192.9.137.193,8443,443,true,SJC,North America,San Jose,253,6.08
168.138.201.0,443,443,true,NRT,Asia Pacific,Tokyo,75,5.87
130.61.107.238,8443,443,true,FRA,Europe,Frankfurt,164,5.80
150.230.149.208,443,443,true,FRA,Europe,Frankfurt,175,5.73
89.168.66.238,443,443,true,FRA,Europe,Frankfurt,281,5.65
158.179.172.95,443,443,true,ICN,Asia Pacific,Seoul,85,5.53
193.122.2.46,443,443,true,FRA,Europe,Frankfurt,279,5.50
168.138.50.249,443,443,true,KIX,Asia Pacific,Osaka,71,5.42
144.24.173.250,8443,443,true,FRA,Europe,Frankfurt,167,5.40
168.138.212.196,2096,2096,true,HKG,Asia Pacific,Hong Kong,71,5.36
130.162.140.215,443,443,true,NRT,Asia Pacific,Tokyo,118,5.26
159.13.46.42,443,443,true,SYD,Oceania,Sydney,115,5.25
204.216.105.106,8443,8443,true,YYZ,North America,Toronto,292,5.20
144.24.173.250,2096,443,true,FRA,Europe,Frankfurt,168,5.13
192.9.180.162,443,443,true,SYD,Oceania,Sydney,95,5.12
146.56.46.84,443,443,true,NRT,Asia Pacific,Tokyo,115,5.07
193.123.250.209,2087,2096,true,ICN,Asia Pacific,Seoul,124,5.06
193.123.61.132,443,443,true,FRA,Europe,Frankfurt,310,5.05
130.162.229.16,443,443,true,FRA,Europe,Frankfurt,271,4.91
79.72.75.191,443,443,true,FRA,Europe,Frankfurt,278,4.89
141.147.47.32,8443,443,true,FRA,Europe,Frankfurt,169,4.83
158.180.49.11,8443,443,true,FRA,Europe,Frankfurt,169,4.69
193.122.61.167,443,443,true,FRA,Europe,Frankfurt,164,4.64
144.24.189.21,443,443,true,FRA,Europe,Frankfurt,180,4.61
144.24.173.250,2053,443,true,FRA,Europe,Frankfurt,165,4.59
152.70.59.90,8443,443,true,AMS,Europe,Amsterdam,177,4.58
89.168.118.76,443,443,true,FRA,Europe,Frankfurt,181,4.53
158.101.215.45,8443,443,true,AMS,Europe,Amsterdam,173,4.53
84.235.169.234,443,443,true,AMS,Europe,Amsterdam,184,4.50
152.67.78.164,8443,443,true,MXP,Europe,Milan,210,4.48
141.144.232.159,443,443,true,FRA,Europe,Frankfurt,190,4.33
130.162.254.194,443,443,true,FRA,Europe,Frankfurt,229,4.30
132.145.152.194,443,443,true,IAD,North America,Ashburn,260,4.12
144.24.188.240,443,443,true,FRA,Europe,Frankfurt,165,4.06
140.238.195.98,443,443,true,SYD,Oceania,Sydney,98,4.02
129.159.120.244,2053,443,true,IAD,North America,Ashburn,228,3.99
